,top_cat,text,id_int
302841,707728009,"4CIS® Chiron Spinal Fixation SystemSOLCO BIOMEDICAL CO.,LTD.4137-85D5",0
192898,707728009,DaytonaSEASPINE ORTHOPEDICS CORPORATION78-7500,0
589493,272181003,EvolutionMicroport Orthopedics Inc.ETPLB1SR,1
29351,707728009,"SapphireSPINAL ELEMENTS, INC.27140-012",0
488916,272181003,"GORE VIABAHN Endoprosthesis with HeparinW. L. Gore & Associates, Inc.VBHR061001A",1
665402,272181003,"CryoPatch® SG Pulmonary Human Cardiac Branch Patch Cryolife, Inc.SGP020",1
686324,707728009,"CREOGLOBUS MEDICAL, INC.5067.6097",0
773100,272181003,DEKNATELTELEFLEX INCORPORATEDIPN028970,1
61607,707728009,ARIX Hand System Bone PlateJeil Medical CorporationH1-TP-011,0
229418,707728009,DIAPASONStryker Corporation665070,0
304944,707728009,"AccelFix Spinal Fixation SystemL&K BIOMED CO. ,LTD.2412-7560",0
635667,272181003,Rampart-TSPINEOLOGY INC.83-01-16-8,1
746001,272181003,Shoreline ACSSEASPINE ORTHOPEDICS CORPORATION86-2609,1
40347,272181003,"LegionSmith & Nephew, Inc.E0016900-6",1
62578,707728009,"Arthrex®ARTHREX, INC.AR-18714V-10",0
846997,272181003,"JOURNEYSmith & Nephew, Inc.74025624",1
275572,707728009,"The JASPER Spinal Fixation SystemGBS Commonwealth Co.,Ltd.L11B-9575",0
751162,272181003,"BASENuvasive, Inc.6959141",1
214641,707728009,"AnyPlus Spinal Fixation SystemGS Medical Co., Ltd.0924-7580",0
747026,272181003,"PIVOX™ Oblique Lateral Spinal SystemMEDTRONIC SOFAMOR DANEK, INC.2191340",1
61939,707728009,"nanZimmer, Inc.4815-18",0
176774,707728009,"nanHYHTE HOLDINGS, INC.AAUA60045",0
117759,707728009,"MalibuSeaspine, Inc.73-7570",0
699393,272181003,VA-LCPSYNTHES (U.S.A.) LP03.127.014,1
404074,707728009,nanNEWCLIP TECHNICSCT2.4L30-ST,0
306381,707728009,"MEGA PLUS SPINE SYSTEMBK MEDITECH CO.,LTD.95105-30",0
452883,707728009,"Monster Screw SystemPARAGON 28, INC.P20-155-050L",0
662965,272181003,"LOSPA Modular Knee SystemCorentec Co., LtdK2.IBN.5684-17A",1
643090,707728009,EXPert NailSYNTHES (U.S.A.) LP04.001.422S,0
2916,707728009,VERTICALESilony Medical GmbHS-VFS-0290-RS2,0
832212,272181003,CAMLOG® Esthomic® abutmentALTATEC GmbHK2232.3830 ,1
624442,705288005,"PRECISE CENTERED PARTIALGrace Medical, Inc.765-100",3
670188,707728009,"REVEREGLOBUS MEDICAL, INC.5024.0195S",0
139179,707728009,"APEX-DL Spine SystemSPINECRAFT, LLCDPR6-100100",0
518912,272181003,"CoRoentNuvasive, Inc.6221055",1
588100,272181003,"PROFIXSmith & Nephew, Inc.71500061",1
92871,707728009,"Neobiotech Implant SystemNeobiotech. co., ltdIT313511AP",0
550656,272181003,LEVEL ONE CMFKLS-Martin L.P.01-331-06-09,1
503218,272181003,"Avenir Complete™Zimmer, Inc.574201010",1
551891,272181003,MediconMedicon eG. Chirurgiemechaniker-Genossenschaft68.81.52,1
824453,272181003,"LOCATORZest Anchors, LLC01962",1
581941,272181003,"PINNACLE GRIPTIONDEPUY ORTHOPAEDICS, INC.1217-30-052",1
415939,707728009,nanStryker Trauma SA52-27216,0
281574,707728009,"The JASPER Spinal Fixation SystemGBS Commonwealth Co.,Ltd.L22J-6045",0
364462,272181003,AnyRidge Octa 1 FixtureMegagen Implant Co. LtdARO3318D,1
475415,272181003,"A.L.P.S.®Biomet Orthopedics, LLC8513-18-707",1
167010,707728009,RAPHAEL Pedicle Screw SystemCTL MEDICAL CORPORATION115.3455,0
376609,707728009,"APEX Spine SystemSPINECRAFT, LLCMR6-5550",0
839051,272181003,"SIS (Luna) Shinhung MST Co., Ltd.SSPAN4553",1
615284,707728009,"AUTOBAHNGLOBUS MEDICAL, INC.1190.3516S",0
398893,707728009,IBS™IN2BONESS25 ST016,0
885859,272181003,MonosynB BRAUN SURGICAL SAX0020027,1
525137,272181003,VBOSSStryker Corporation33662000SR,1
363504,272181003,"J2C SLA Dental Implant SystemKJMEDITECH.CO.,LTDMTF6010RP",1
714989,707728009,"nanBIOMET MICROFIXATION, INC69-6028",0
329426,272181003,"KJ Mini Implant SystemKJMEDITECH.CO.,LTDOBL4008",1
611048,272181003,FITBONE®WITTENSTEIN intens GmbHTUBE T12/09-S,1
128943,707728009,"Iliad Spinal SystemMedyssey Co., Ltd.CP7025",0
845395,272181003,"APEX PS KneeOmnilife Science, IncKP-0030L",1
745240,272181003,Vu a-POD Prime NanoMetaleneSEASPINE ORTHOPEDICS CORPORATION33-38-4316,1
230400,707728009,Savannah-TSPINAL ELEMENTSSAVT-MTC,0
886226,272181003,MonosynB BRAUN SURGICAL SAC0022735,1
330172,272181003,MICROPORTMicroport Orthopedics Inc.PHA04426,1
860130,272181003,DemeCRYLDEMETECH CORPORATIONG1180136B1P,1
328701,272181003,"ACEACE SURGICAL SUPPLY CO., INC.01403201",1
208527,707728009,"CAYMAN® Plate SystemK2M, INC.1201-16022",0
128925,707728009,"Iliad Spinal SystemMedyssey Co., Ltd.CP8025",0
618021,272181003,"SLUP Nasal ImplantIMPLANTECH ASSOCIATES, INC.Size 7",1
702081,707728009,nanBOSTON SCIENTIFIC NEUROMODULATION CORPORATIONDB-7101-S,0
368528,707728009,TIGER Spine System CORELINK LLCR55080-75,0
142628,707728009,"Zodiac Spinal Fixation SystemALPHATEC SPINE, INC.62165-25",0
